Trace
Swept SA
A.14.10,N9010A
526 B25 EA3 P07 ,01
Segment,0
Number of Points,1001
Sweep Time,0.187066666667
Start Frequency,10
Stop Frequency,10000
Average Count,100
Average Type,LogPower(Video)
RBW,10
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA [credits: Dr Jonathan Bass]
10,31.8828956006815
19.99,-26.3804265085103
29.98,-27.8198356404793
39.97,-30.9635067814912
49.96,-31.5389454037515
59.95,-32.6637460878708
69.94,-33.2038951441159
79.93,-33.6159840696586
89.92,-34.602847958633
99.91,-35.740103502445
109.9,-35.4851142258662
119.89,-36.4164945602342
129.88,-36.4117938135008
139.87,-36.0111257667578
149.86,-36.9483475981263
159.85,-36.9271415620199
169.84,-37.3529803917684
179.83,-37.6613219602485
189.82,-37.8062612028012
199.81,-38.2914796088911
209.8,-37.4459983974397
219.79,-38.8055498042232
229.78,-39.3377137890842
239.77,-38.9840586634671
249.76,-39.4232840694752
259.75,-37.9087791018402
269.74,-38.6890899270331
279.73,-39.3033253979264
289.72,-39.4289451633785
299.71,-40.5696160249871
309.7,-40.429940650186
319.69,-39.245168163617
329.68,-39.9672257219014
339.67,-41.2391969829954
349.66,-41.2707080752389
359.65,-41.4222259976255
369.64,-41.5942742261896
379.63,-41.6692008532836
389.62,-42.0369598334313
399.61,-41.7488067347455
409.6,-41.498445862376
419.59,-41.2610386763851
429.58,-42.2350019412729
439.57,-41.4600221846628
449.56,-42.3407397423819
459.55,-42.040838934136
469.54,-42.7727596205831
479.53,-41.8040253948767
489.52,-42.1397969075319
499.51,-42.5168140597087
509.5,-42.6963651462005
519.49,-43.351921622495
529.48,-42.8650241383306
539.47,-42.7945408570618
549.46,-42.8916247563112
559.45,-43.2821629616949
569.44,-43.4488714356367
579.43,-43.5082247942769
589.42,-43.3590251257145
599.41,-43.1356096794987
609.4,-42.6618125468827
619.39,-44.5425994605137
629.38,-44.1041398820715
639.37,-43.5566631709794
649.36,-43.2869655856901
659.35,-43.3266334394788
669.34,-43.7490546478767
679.33,-44.1265501690882
689.32,-44.6750861712715
699.31,-44.9451186913123
709.3,-43.5853064137088
719.29,-44.3900472433517
729.28,-43.8496577553405
739.27,-44.8755024569279
749.26,-43.9618202689932
759.25,-44.5826389687084
769.24,-44.3890143238779
779.23,-44.2172495562408
789.22,-43.4074248167483
799.21,-44.4970568210966
809.2,-44.9074116765398
819.19,-45.115885441072
829.18,-44.9760357406265
839.17,-44.68774040482
849.16,-44.9365885454891
859.15,-45.1496260304439
869.14,-45.631800901553
879.13,-44.9160432047993
889.12,-45.1310998744533
899.11,-44.3573540045485
909.1,-45.3203915214215
919.09,-44.7318259795391
929.08,-45.4051276868311
939.07,-45.6255227171742
949.06,-44.8706924815486
959.05,-45.0563867118815
969.04,-46.4738716837271
979.03,-45.6215489561827
989.02,-46.1257748858827
999.01,-45.5875118664261
1009,-44.6038903650583
1018.99,-45.5454171489857
1028.98,-45.7624646452266
1038.97,-45.3812236735598
1048.96,-45.6283418588555
1058.95,-45.7149891697955
1068.94,-45.9604421919232
1078.93,-45.9611375789801
1088.92,-46.2733259022828
1098.91,-45.7402843344182
1108.9,-46.2134575208117
1118.89,-45.1411561004631
1128.88,-46.1764425568667
1138.87,-45.9732012459751
1148.86,-45.6736411192815
1158.85,-46.1281783084128
1168.84,-46.5235462013183
1178.83,-46.2883149427126
1188.82,-45.819165612673
1198.81,-46.4219015716134
1208.8,-45.6485898802146
1218.79,-45.6708582862595
1228.78,-46.0248161648041
1238.77,-45.8301179472825
1248.76,-46.5625791467291
1258.75,-46.4463088666683
1268.74,-46.714677603132
1278.73,-46.4286218272614
1288.72,-45.337456994416
1298.71,-46.121491608166
1308.7,-47.1403556317594
1318.69,-47.1950269734368
1328.68,-46.3466316115961
1338.67,-46.9639710983026
1348.66,-46.9606516339106
1358.65,-46.8410205100216
1368.64,-46.8267012756149
1378.63,-45.9006534050975
1388.62,-46.2239579909445
1398.61,-46.8617793112986
1408.6,-47.2813538047502
1418.59,-46.3484947034148
1428.58,-46.7266686069965
1438.57,-47.3746076788163
1448.56,-46.4723473992596
1458.55,-47.1339940203609
1468.54,-46.6698065742939
1478.53,-46.8462524913782
1488.52,-47.2825422472398
1498.51,-46.7094996879986
1508.5,-46.8922870977416
1518.49,-47.2867608182908
1528.48,-47.7776714539351
1538.47,-46.8484158018276
1548.46,-46.9089674490121
1558.45,-47.3552748367818
1568.44,-47.4574766472645
1578.43,-47.4629124963417
1588.42,-47.2111693697979
1598.41,-47.0118808535818
1608.4,-47.8017555686942
1618.39,-47.1638032323901
1628.38,-47.5323235432373
1638.37,-47.8822142286941
1648.36,-47.4014406511478
