Trace
Swept SA
A.14.10,N9010A
526 B25 EA3 P07 ,01
Segment,0
Number of Points,1001
Sweep Time,0.381266666667
Start Frequency,1000
Stop Frequency,10000000
Average Count,100
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA [credits: Dr Jonathan Bass]
1000,42.7145094647707
10999,19.6001096030853
20998,-29.6501757511558
30997,-39.4541658780056
40996,-44.5466503289236
50995,-47.442091572175
60994,-50.3669984832341
70993,-53.8482581435701
80992,-55.5747747135306
90991,-56.7115375105466
100990,-58.7081152730549
110989,-60.7910201242715
120988,-62.2677826667592
130987,-63.8229471464383
140986,-65.1637001605671
150985,-66.6740565478363
160984,-67.0802456545191
170983,-67.8846531284775
180982,-69.1594419180213
190981,-69.7840712743607
200980,-70.001335432495
210979,-71.3036187238357
220978,-71.5540573806651
230977,-73.0670773118746
240976,-73.528482252848
250975,-74.0493975900211
260974,-74.622774247652
270973,-74.6739911126321
280972,-76.3565516708176
290971,-76.2802511358906
300970,-77.593454030377
310969,-77.404005044614
320968,-77.376425612703
330967,-78.5316100838439
340966,-78.6113754106576
350965,-79.1045623918131
360964,-79.9323177304864
370963,-79.6449391133462
380962,-80.5177477103375
390961,-80.8618531405951
400960,-80.5195798582576
410959,-81.7148922708581
420958,-81.7738355152831
430957,-82.1388929721306
440956,-81.9812397185389
450955,-81.7277833421779
460954,-82.8334130030695
470953,-82.8214318363576
480952,-82.8158614934951
490951,-83.2286837463918
500950,-83.2308858372249
510949,-83.1949431570237
520948,-84.4826854006965
530947,-84.0176192260776
540946,-84.5000877181009
550945,-84.7810210558708
560944,-84.4474593516593
570943,-84.5731175150899
580942,-85.4259818846775
590941,-85.4933843024118
600940,-85.7442831423874
610939,-85.6541304029085
620938,-86.5329094480039
630937,-86.5708113747455
640936,-85.7955483346757
650935,-86.5930328175265
660934,-86.2431522007162
670933,-86.2071943762179
680932,-86.5619476886847
690931,-86.5978772305365
700930,-87.0783756979557
710929,-86.547789357002
720928,-86.5221289490818
730927,-87.0110727369475
740926,-86.7716501394219
750925,-87.1388939067749
760924,-87.0148584833931
770923,-87.4391791065097
780922,-88.0501393266471
790921,-86.9916041463783
800920,-87.6887595077036
810919,-87.7235083279436
820918,-88.2507319087604
830917,-87.9852683608109
840916,-87.5765469348658
850915,-88.4166000807694
860914,-88.1710608148754
870913,-88.0991378205244
880912,-88.8893607815731
890911,-88.4277609041211
900910,-88.4239853001621
910909,-88.9630000626495
920908,-88.8052203067464
930907,-87.8634740883054
940906,-89.0461443504901
950905,-88.4344943403035
960904,-88.3113748312454
970903,-89.7304195624183
980902,-88.920324518975
990901,-89.3488922516373
1000900,-89.5311777992035
1010899,-89.8392010301372
1020898,-89.4382811857176
1030897,-89.408136562082
1040896,-88.6413609286605
1050895,-88.108875500345
1060894,-88.3947798225818
1070893,-89.209760408328
1080892,-88.9080501764691
1090891,-89.0790715749873
1100890,-89.6835253901976
1110889,-90.1628340077641
1120888,-90.247384815095
1130887,-90.1014600053232
1140886,-90.2374171727668
1150885,-90.4609444138022
1160884,-90.0412214327105
1170883,-89.9252251522493
1180882,-91.0922260200659
1190881,-90.4247628459314
1200880,-90.6606255566803
1210879,-89.8337619710117
1220878,-90.0634833204756
1230877,-90.2193365983854
1240876,-89.6614220265986
1250875,-90.2433607945533
1260874,-90.2653122314719
1270873,-90.4441416389038
1280872,-89.7681840198758
1290871,-90.1043563137535
1300870,-89.6510554473484
1310869,-89.6763350657454
1320868,-90.7860846836939
1330867,-90.5253412493899
1340866,-90.5927495405395
1350865,-91.113984408617
1360864,-90.5772284334084
1370863,-91.1872589291466
1380862,-90.7043967516403
1390861,-91.1566412854452
1400860,-90.7714445589607
1410859,-91.0873801078622
1420858,-90.577776920985
1430857,-91.1677462689884
1440856,-91.567208073954
1450855,-91.0391987198551
1460854,-90.8488927348622
1470853,-91.9128074518801
1480852,-91.953766980904
1490851,-91.6365848248808
1500850,-91.9903314338431
1510849,-92.3010457536553
1520848,-91.2743353332553
1530847,-92.1872685687794
1540846,-91.1128254574295
1550845,-90.9965801102603
1560844,-92.0638800217907
1570843,-92.0955596304716
1580842,-91.8320218952357
1590841,-91.1991049792939
1600840,-92.2471228220527
1610839,-92.1294681691173
1620838,-92.5112051432259
1630837,-91.8878416587779
1640836,-91.3701368809374
1650835,-92.1530427719292
1660834,-92.0127007443985
1670833,-92.1639348712896
1680832,-92.1407229598998
1690831,-92.203773868448
1700830,-92.2802773789391
1710829,-91.8073820573707
1720828,-91.9865767269128
1730827,-91.5284804555091
1740826,-92.251854223675
1750825,-92.2433279056689
1760824,-91.8449611047881
1770823,-91.8900432344697
