Trace
Swept SA
A.14.10,N9010A
526 B25 EA3 P07 ,01
Segment,0
Number of Points,1001
Sweep Time,0.381266666667
Start Frequency,1000
Stop Frequency,10000000
Average Count,100
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000,42.7457047847863
10999,19.6231888752096
20998,-30.3175173760512
30997,-38.9752940163239
40996,-44.1257002891683
50995,-47.6417438526886
60994,-50.6373713751984
70993,-53.2746899398508
80992,-55.267677664057
90991,-58.1532057360935
100990,-59.5540748346039
110989,-60.7931092186224
120988,-62.0685489824653
130987,-63.3689393300481
140986,-65.3712817070061
150985,-65.6230584283583
160984,-67.019363246581
170983,-68.2941889919631
180982,-68.654304397728
190981,-69.0124831268512
200980,-70.6245853190043
210979,-72.067752230834
220978,-72.4874590708305
230977,-72.6579806686733
240976,-73.9483091816935
250975,-74.2006621854807
260974,-75.4833033389128
270973,-75.0591454606152
280972,-75.6072983867818
290971,-76.5706846494923
300970,-76.7899670814063
310969,-77.4690635347302
320968,-78.0809602365535
330967,-78.7379788255635
340966,-79.1355925997515
350965,-79.2839004556259
360964,-79.8364600521369
370963,-80.49555090141
380962,-80.4566524360693
390961,-80.4885326687772
400960,-81.249265030316
410959,-81.4703055294325
420958,-81.9097743753506
430957,-81.2261586491224
440956,-82.5681489836101
450955,-81.3977413848246
460954,-82.5503885225893
470953,-83.400040519631
480952,-83.5614360067123
490951,-83.3389906106977
500950,-84.5017814361455
510949,-84.1696912932324
520948,-84.23125364688
530947,-85.3809321688933
540946,-84.4746429524184
550945,-85.0835866595695
560944,-85.8885641302353
570943,-85.8719249584437
580942,-85.9741998150781
590941,-85.7848550730617
600940,-85.5265310357055
610939,-85.8157814199181
620938,-86.3792010985557
630937,-86.7755049088004
640936,-86.8906079634757
650935,-87.3023932947224
660934,-87.0981026078674
670933,-87.3804638763938
680932,-86.8185760895634
690931,-86.7479617171048
700930,-87.2324937456338
710929,-87.2746745289699
720928,-87.6124431128146
730927,-87.3171543342563
740926,-87.987440470822
750925,-88.5682615712169
760924,-87.890424583014
770923,-87.2925470668471
780922,-88.5328174111011
790921,-88.5574943551599
800920,-88.8142408424246
810919,-89.362743599001
820918,-88.8451958939955
830917,-88.9716101993203
840916,-88.2824541971187
850915,-89.600405049426
860914,-89.7618512284209
870913,-89.0905708432689
880912,-89.8077122210676
890911,-89.4391682024134
900910,-89.252854587139
910909,-90.0901629813875
920908,-89.651853971599
930907,-89.7359649019354
940906,-89.9832996152685
950905,-90.1020839661083
960904,-90.2898829118747
970903,-90.3720586179517
980902,-90.8326294521329
990901,-91.360820618506
1000900,-91.5897443400677
1010899,-90.6667664699211
1020898,-91.511951533414
1030897,-89.9688258937069
1040896,-89.9724979249306
1050895,-89.8826061277224
1060894,-90.0243149038493
1070893,-90.8080007366042
1080892,-90.6126344607126
1090891,-89.9014336940454
1100890,-91.2891972410383
1110889,-91.8039566846546
1120888,-91.7434283000629
1130887,-92.0304974294316
1140886,-92.2467244657244
1150885,-91.8021787313253
1160884,-91.3031259943036
1170883,-92.3338229474721
1180882,-91.8784177666354
1190881,-91.3584929805608
1200880,-92.0378965655183
1210879,-91.9971214240999
1220878,-92.6510099140202
1230877,-92.4124581602563
1240876,-93.1804111026432
1250875,-92.8371181424503
1260874,-92.4270540931801
1270873,-92.3955490742659
1280872,-91.6620563662066
1290871,-92.1972039269283
1300870,-92.3250846384603
1310869,-92.0587537249532
1320868,-92.696950548205
1330867,-93.0709257387062
1340866,-92.6023553572099
1350865,-93.1188513746368
1360864,-93.2991634394199
1370863,-93.4222105366377
1380862,-93.5021305452808
1390861,-93.4335886822421
1400860,-92.9670053960154
1410859,-92.8049759126103
1420858,-94.2998727343596
1430857,-93.533443379639
1440856,-93.7919919519294
1450855,-93.580615805155
1460854,-93.6419605098191
1470853,-94.0811247334343
1480852,-93.9952914739845
1490851,-93.4952775618454
1500850,-94.4695639290407
1510849,-94.8211841178488
1520848,-94.1349601716833
1530847,-94.5906767250041
1540846,-94.6453696161892
1550845,-94.125313366895
1560844,-94.6545050621907
1570843,-93.7597076229779
1580842,-94.4236043026759
1590841,-94.2454972908547
1600840,-94.4797019339202
1610839,-94.2736542553377
1620838,-94.5341465947997
1630837,-93.7784205444346
1640836,-94.0284665387163
1650835,-94.3581730675804
1660834,-94.2210517302114
1670833,-94.4319646233876
1680832,-94.8044401640587
1690831,-94.1411927238462
1700830,-94.6509984426767
1710829,-94.5953781213488
1720828,-95.081476589875
1730827,-94.6036525468506
1740826,-94.9956633127318
1750825,-95.7193434054999
1760824,-94.7770635381742
1770823,-95.4001962694538
1780822,-94.7275179935134
