Trace
Swept SA
A.14.10,N9010A
526 B25 EA3 P07 ,01
Segment,0
Number of Points,1001
Sweep Time,0.204533333333
Start Frequency,10
Stop Frequency,100000
Average Count,100
Average Type,LogPower(Video)
RBW,10
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10,11.4954581263109
109.99,-55.1451285875474
209.98,-58.7316397726255
309.97,-60.427415713245
409.96,-61.6592641080564
509.95,-62.258601784044
609.94,-62.9182221727808
709.93,-63.612785240469
809.92,-62.9748978654744
909.91,-63.5188019948769
1009.9,-62.29359668026
1109.89,-62.9738410888642
1209.88,-63.265907990523
1309.87,-62.916567527076
1409.86,-62.2170516735588
1509.85,-62.2929410774813
1609.84,-61.6304931100961
1709.83,-61.8759479353063
1809.82,-62.4694768801127
1909.81,-62.0250627148617
2009.8,-61.0677905060728
2109.79,-61.4643956854445
2209.78,-60.9624729581962
2309.77,-61.0942555064393
2409.76,-60.3899960343969
2509.75,-61.1458835870698
2609.74,-60.4103671797722
2709.73,-60.4183000622035
2809.72,-60.4517150631608
2909.71,-61.2101010740628
3009.7,-60.2745730716539
3109.69,-60.7607115862465
3209.68,-60.9014728921439
3309.67,-60.1500646567903
3409.66,-60.5295021843175
3509.65,-60.9371746773617
3609.64,-61.6744949091397
3709.63,-60.9723305692269
3809.62,-60.9041703253088
3909.61,-60.7653037556692
4009.6,-60.5068324135169
4109.59,-61.4825699268386
4209.58,-61.6138086609809
4309.57,-62.0441028829315
4409.56,-61.8200590997796
4509.55,-61.9354176932593
4609.54,-61.4857518030149
4709.53,-62.0208894708859
4809.52,-61.9323703989122
4909.51,-61.0954272234345
5009.5,-61.2002781986622
5109.49,-62.1749554945383
5209.48,-62.3307115360831
5309.47,-62.0965856782581
5409.46,-62.3319555001972
5509.45,-62.4037510993741
5609.44,-62.1982162255922
5709.43,-62.6144712523099
5809.42,-62.5599901693491
5909.41,-62.0345054061779
6009.4,-62.7982613523254
6109.39,-62.4580341977368
6209.38,-62.1440431002272
6309.37,-62.8989812510961
6409.36,-62.73464604331
6509.35,-63.0916761902077
6609.34,-63.7151392220662
6709.33,-63.178578331281
6809.32,-62.4917461911697
6909.31,-63.5997616805062
7009.3,-63.3547148997285
7109.29,-64.1251882624254
7209.28,-63.1198225532708
7309.27,-63.283296070051
7409.26,-63.6843784347351
7509.25,-63.8062849676737
7609.24,-63.4829104995272
7709.23,-63.7034610153243
7809.22,-64.2668646533462
7909.21,-63.5430896280041
8009.2,-64.1834136830981
8109.19,-63.9217744952188
8209.18,-63.6170871912018
8309.17,-64.0786059488662
8409.16,-64.0618360358743
8509.15,-64.0598711069858
8609.14,-63.8715728809527
8709.13,-64.4338295516718
8809.12,-63.8080297315179
8909.11,-64.0452706526209
9009.1,-64.1302663517481
9109.09,-64.7881688097366
9209.08,-64.9987918990169
9309.07,-64.5275989897372
9409.06,-63.8096190330836
9509.05,-65.14678718715
9609.04,-65.3369100517419
9709.03,-65.8454333050666
9809.02,-65.2893898415406
9909.01,-64.9114741584821
10009,-64.7972462553587
10108.99,-65.3403518359138
10208.98,-64.413943080411
10308.97,-65.2503518591802
10408.96,-64.9179891083249
10508.95,-65.0607550734575
10608.94,-65.5975430245225
10708.93,-65.3598251694979
10808.92,-65.202827845633
10908.91,-65.4706643452874
11008.9,-65.5816930920999
11108.89,-65.736445766103
11208.88,-65.907485520313
11308.87,-66.2570964551317
11408.86,-65.8714673073509
11508.85,-65.772607322335
11608.84,-65.9645912560536
11708.83,-66.0185291099586
11808.82,-65.7018177602335
11908.81,-65.0864621078763
12008.8,-66.082863998706
12108.79,-65.5649953660249
12208.78,-65.5052727501873
12308.77,-66.5249474388604
12408.76,-66.4527322001258
12508.75,-66.7419722461828
12608.74,-66.2046507212481
12708.73,-66.4559581493329
12808.72,-67.0419079585304
12908.71,-66.5130449118373
13008.7,-66.0954606144417
13108.69,-66.156783636313
13208.68,-67.1151257056611
13308.67,-66.3595158751806
13408.66,-66.4860857734912
13508.65,-66.4040638060119
13608.64,-66.3589616002183
13708.63,-67.0516605143832
13808.62,-66.7848986670677
13908.61,-67.3632425582596
14008.6,-67.370952436992
14108.59,-66.4450076883648
14208.58,-67.514812064014
14308.57,-66.6795037764734
14408.56,-66.9283841803212
14508.55,-66.0757174118832
14608.54,-67.542751773409
14708.53,-67.0346087969265
14808.52,-67.4805741206248
14908.51,-66.9882682830334
15008.5,-67.5345440402176
15108.49,-67.4670689956489
15208.48,-67.7621477472668
15308.47,-67.2331665979031
15408.46,-67.6387228275836
15508.45,-67.2373507944693
15608.44,-67.4106576782593
15708.43,-68.0011121532154
15808.42,-67.5919314792865
15908.41,-67.3590069367564
